id,rating,date,content,coordinates,place
49,0,2022-04-12 04:19:49+00:00,"dapat kahapon pa flight namin pabalik ng mnl, pero stranded pa rin kami dito sa bantayan island. 🥲

bale dalawang bagyo na naabutan namin dito… bat naman ganon lord… #AgatonPH #BasyangPH","{'longitude': 123.7565237, 'latitude': 11.1474093}","{'fullName': 'Santa Fe, Central Visayas', 'name': 'Santa Fe', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
50,1,2022-04-12 03:34:57+00:00,My heart hurt so muchhhh 😭 May all your souls rest in peace to the victims of landslide in Baybay Leyte 🙏😭 #BaybayNeedsHelp,"{'longitude': 124.7521175, 'latitude': 10.1103384}","{'fullName': 'City Of Maasin, Eastern Visayas', 'name': 'City Of Maasin', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
51,0,2022-04-12 03:00:48+00:00,Tropahin natin yung bagyo kasi tumatambay din #AgatonPH #altertacloban,"{'longitude': 124.8960325, 'latitude': 11.1808072}","{'fullName': 'Tacloban City, Eastern Visayas', 'name': 'Tacloban City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
52,2,2022-04-12 02:42:01+00:00,Ito po yung buong barangay po na natabunan po ng landslide..kalahati pa lang po yung survivor..yung iba po missing pa rin… almost 200 persons pa po ang missing..#BaybayNeedsHelp https://t.co/xh6UTujOGB,"{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
53,0,2022-04-12 02:28:39+00:00,Mas kusog pang hatag sa activities kaysas bagyo,"{'longitude': 123.7376399, 'latitude': 10.2300366}","{'fullName': 'Minglanilla, Central Visayas', 'name': 'Minglanilla', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
54,1,2022-04-12 02:25:35+00:00,"In behalf of BS in Agribusiness Freshmen of VSU, we are here to knock your soft heart for donation to Alviola Family and Peter Cajeric 's  mother and two siblings for their proper burial. They are all victim of landslide in Sitio Waterfall, Brgy. Mailhi, Baybay City, Leyte. https://t.co/wlaj4TkG7k","{'longitude': 124.4758848, 'latitude': 10.9533981}","{'fullName': 'Ormoc City, Eastern Visayas', 'name': 'Ormoc City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
55,1,2022-04-12 02:01:45+00:00,"Baybay has been my second home and after witnessing people dying, begging for help, and losing their families and homes, I can't help but cry and cry. I think of my G 9 students at Baybay High who r at risk right now. Musta na sila? 😭
#LeyteNeedsHelp #AgatonPH #BaybayNeedsHelp","{'longitude': 124.4758848, 'latitude': 10.9533981}","{'fullName': 'Ormoc City, Eastern Visayas', 'name': 'Ormoc City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
56,0,2022-04-12 01:32:41+00:00,been receiving random i miss you's from my friends hays iba talaga it epekto hit bagyo 😂,"{'longitude': 124.8960325, 'latitude': 11.1808072}","{'fullName': 'Tacloban City, Eastern Visayas', 'name': 'Tacloban City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
57,0,2022-04-12 01:25:25+00:00,Bagyo muna huhu,"{'longitude': 123.7647381, 'latitude': 10.2594754}","{'fullName': 'Cebu City, Central Visayas', 'name': 'Cebu City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
58,2,2022-04-12 00:21:50+00:00,Please help boost #BaybayNeedsHelp 🥺💔,"{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
59,1,2022-04-12 00:20:12+00:00,Nakakalungkot lang kasi isipin na mas nag tretrend pa mga chismis ng mga artista kaysa sa mga pangyayari dito sa amin. Ang dami na po ng namamatay. Tas wala pa ring tigil ang ulan 💔😭,"{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
60,0,2022-04-12 00:10:00+00:00,bagyo pahawa na intawn,"{'longitude': 123.9114563, 'latitude': 10.3107867}","{'fullName': 'Mandaue City, Central Visayas', 'name': 'Mandaue City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
61,2,2022-04-11 23:23:50+00:00,"❗️❗️#BaybayNeedsHELP ❤️ [April 12, 2022 at 4:22AM ]

Calling the attention of all rescuers from different agencies or organizations, rescuers from different municipalities, rescuers of the Philippines, the people of BAYBAY CITY, Leyte need your help. 
#AgatonPH https://t.co/LlY5KuflkR","{'longitude': 124.7208065, 'latitude': 10.4606567}","{'fullName': 'Inopacan, Eastern Visayas', 'name': 'Inopacan', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
62,0,2022-04-11 23:12:44+00:00,@reynreyngoawayy Morning sir amping sir ulan nimo awp hahaha sa ba hahaha🤭😂,"{'longitude': 123.9086254, 'latitude': 10.2035208}","{'fullName': 'Lapu-Lapu City, Central Visayas', 'name': 'Lapu-Lapu City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
63,1,2022-04-11 19:20:43+00:00,"Kakampinks!!

CALL FOR DONATIONS: PROJECT HANGKUP

For the victims of Typhoon Agaton in Baybay City, Leyte

We need your help to gather funds and in-kind donations for the food packs, medicine, and hygiene kits we want to give to Typhoon Agaton victims in Baybay City, Leyte. https://t.co/kQhWG4KbXU","{'longitude': 124.908865, 'latitude': 11.1061918}","{'fullName': 'Palo, Eastern Visayas', 'name': 'Palo', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
64,0,2022-04-11 19:03:45+00:00,Yawa gyyd ning bagyo larga nakog bantayan unya yawa ka!!,"{'longitude': 123.9086254, 'latitude': 10.2035208}","{'fullName': 'Lapu-Lapu City, Central Visayas', 'name': 'Lapu-Lapu City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
65,0,2022-04-11 17:10:28+00:00,Ang bagyo kay by pair na. Kita ani? Aw,"{'longitude': 123.7647381, 'latitude': 10.2594754}","{'fullName': 'Cebu City, Central Visayas', 'name': 'Cebu City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
66,1,2022-04-11 16:15:21+00:00,"my heart is for the victims of the landslide in Babay, Leyte 😢😢😢","{'longitude': 123.9086254, 'latitude': 10.2035208}","{'fullName': 'Lapu-Lapu City, Central Visayas', 'name': 'Lapu-Lapu City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
67,0,2022-04-11 14:24:14+00:00,Hunong na tawn agaton malooy ka daghan pakog apason kay tungod atong bagyo last year😳😢,"{'longitude': 123.9114563, 'latitude': 10.3107867}","{'fullName': 'Mandaue City, Central Visayas', 'name': 'Mandaue City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
68,2,2022-04-11 14:10:16+00:00,"Pray for baybay, leyte
We need help","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
69,0,2022-04-11 13:41:00+00:00,@143redangel Help,"{'longitude': 124.791516, 'latitude': 11.1462738}","{'fullName': 'Alangalang, Eastern Visayas', 'name': 'Alangalang', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
70,0,2022-04-11 13:24:14+00:00,@BeN_BAbe26 Wa kay bagyo!!!,"{'longitude': 123.9086254, 'latitude': 10.2035208}","{'fullName': 'Lapu-Lapu City, Central Visayas', 'name': 'Lapu-Lapu City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
71,0,2022-04-11 13:24:03+00:00,Ok ra man mabasa sa ulan ayaw lang ko pisika og tubig sa dalan. Struggle jud ning maglakaw ta sa dalan then naay paspas nga sakyanan. 🙄,"{'longitude': 123.7647381, 'latitude': 10.2594754}","{'fullName': 'Cebu City, Central Visayas', 'name': 'Cebu City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
72,0,2022-04-11 13:19:32+00:00,"baha nasa diris amoa hahaysss, samot ng mga taga loyo kalooy jud 😩","{'longitude': 123.8393178, 'latitude': 10.4764289}","{'fullName': 'Danao City, Central Visayas', 'name': 'Danao City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
73,1,2022-04-11 13:11:40+00:00,Been hearing how bad the situation is in Leyte due to the nonstop rains &amp; landslide. 🙏🙏🙏😢😔,"{'longitude': 123.7647381, 'latitude': 10.2594754}","{'fullName': 'Cebu City, Central Visayas', 'name': 'Cebu City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
74,2,2022-04-11 12:28:14+00:00,"My Beloved Home Town The 5th District of Leyte distroyed by Typhoon Agaton in need of help 🙏😭
#AgatonPH #BaybayNeedsHelp https://t.co/NXFCC2zkp3","{'longitude': 124.7208065, 'latitude': 10.4606567}","{'fullName': 'Inopacan, Eastern Visayas', 'name': 'Inopacan', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
75,1,2022-04-11 12:16:04+00:00,"Families in Baybay City need some help due to #TyphoonAgaton . They need Food and Water.
Anyone from the #cryptoworld , specifically #XRPCommunity, willing to donate you can send me a PM.
All donation transactions will be recorded for transparency.
#XRP #XRPL","{'longitude': 124.8960325, 'latitude': 11.1808072}","{'fullName': 'Tacloban City, Eastern Visayas', 'name': 'Tacloban City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
76,1,2022-04-11 12:08:07+00:00,"@wtfffgrasya Thank u mem. 😘
Ok la, damo la an mga ruba. Makalolooy la an mga na landslide kay atop nala nakit-an ha ira. Damo ghap an patay.","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
77,0,2022-04-11 11:51:43+00:00,yawaa nag hoot ako dughan nga nakita ko sa mga tao nga nangamatay tungod sa bagyo labi na ang mga bataaaa 💔,"{'longitude': 124.8960325, 'latitude': 11.1808072}","{'fullName': 'Tacloban City, Eastern Visayas', 'name': 'Tacloban City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
78,0,2022-04-11 11:48:55+00:00,Help!! HAHAHAHHAHA naka hurot nakog duha ka twin pack na kape sa pila lng ka Oras😭,"{'longitude': 124.4758848, 'latitude': 10.9533981}","{'fullName': 'Ormoc City, Eastern Visayas', 'name': 'Ormoc City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
79,1,2022-04-11 11:32:11+00:00,Kalilisang na landslide 😢,"{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
80,2,2022-04-11 11:29:00+00:00,Baybay City needs help.,"{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
81,0,2022-04-11 11:23:37+00:00,When pa kaha ko makabalik cebu ani hays naabtan jug bagyo,"{'longitude': 124.9292486, 'latitude': 10.3718806}","{'fullName': 'Sogod, Eastern Visayas', 'name': 'Sogod', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
82,0,2022-04-11 11:10:23+00:00,"Atm

Operation balot ng relief☝☝☝

Bagyo ka lang agaton, hilas me😁😁😁

Stay safe lang taga isla🙏🙏🙏 @ San Jose, Dinagat Islands, Philippines https://t.co/mvptiB9gSB","{'longitude': 125.57327387, 'latitude': 10.00831931}","{'fullName': 'San Jose, Caraga', 'name': 'San Jose', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
83,0,2022-04-11 11:01:23+00:00,Halo help pano to????? May di pa ako nagagamit na acc huhu https://t.co/N9OYcI8Bx3,"{'longitude': 123.9086254, 'latitude': 10.2035208}","{'fullName': 'Lapu-Lapu City, Central Visayas', 'name': 'Lapu-Lapu City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
84,0,2022-04-11 10:34:14+00:00,Hahahaha nyetaaaa iast talagaa.. Ang saya ng ulan. 😂,"{'longitude': 124.6700376, 'latitude': 11.0695902}","{'fullName': 'Jaro, Eastern Visayas', 'name': 'Jaro', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
85,1,2022-04-11 10:22:32+00:00,"Leyte needs our help. 

For more information on how to help, visit: 

https://t.co/Ry3VzKAyrD

#LeyteNeedsHelp @ Tacloban City https://t.co/d1cqcNcu04","{'longitude': 124.988, 'latitude': 11.2329}","{'fullName': 'Tacloban City, Eastern Visayas', 'name': 'Tacloban City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
86,0,2022-04-11 09:54:18+00:00,Please help rt @kep1ermarket_ph @kep1ermarketph @Kep1erMarket_rt!,"{'longitude': 123.7647381, 'latitude': 10.2594754}","{'fullName': 'Cebu City, Central Visayas', 'name': 'Cebu City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
87,2,2022-04-11 09:47:49+00:00,We need help!🙏😭 https://t.co/TEZ1hKfXAk,"{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
88,2,2022-04-11 09:47:13+00:00,"Bay bay city needs help🙏
#XQK #XRPLcommunity  #AgatonPH https://t.co/pGjJGrELbT","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
89,0,2022-04-11 09:04:43+00:00,but I can't help falling inlove with you🎶💜💗,"{'longitude': 124.6497584, 'latitude': 11.1579655}","{'fullName': 'Carigara, Eastern Visayas', 'name': 'Carigara', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
90,0,2022-04-11 08:38:30+00:00,@PornsaUbec Ayg sigeg lupad diha kay bagyo baya,"{'longitude': 123.7647381, 'latitude': 10.2594754}","{'fullName': 'Cebu City, Central Visayas', 'name': 'Cebu City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
91,0,2022-04-11 08:32:54+00:00,"We are launching a DONATION DRIVE today, April 11 to April 14 to help our fellow Baybayanons who are affected by #AgatonPH. 

WE NEED THE FOLLOWING:
• Bottled Water
• Canned Goods
• Instant Noodles
• Biscuits/Crackers 
• Blankets https://t.co/8OlUrkXgkg","{'longitude': 124.4758848, 'latitude': 10.9533981}","{'fullName': 'Ormoc City, Eastern Visayas', 'name': 'Ormoc City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
92,2,2022-04-11 08:29:03+00:00,"#LeyteNeedsHelp
#AbuyogNeedsHelp
#BaybayCityNeedsHelp

Please anything will do. They need blankets, clothes and food donations. We need all the help we can get. https://t.co/aFerqwHkhe","{'longitude': 124.4758848, 'latitude': 10.9533981}","{'fullName': 'Ormoc City, Eastern Visayas', 'name': 'Ormoc City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
93,2,2022-04-11 08:06:57+00:00,"#LeyteNeedsHelp #BaybayCityNeedsHelp
#AbuyogNeedsHelp

Please spread. We need all the help we can get. People are stranded and need to be rescued. https://t.co/6mQ6YaCZ6V","{'longitude': 124.4758848, 'latitude': 10.9533981}","{'fullName': 'Ormoc City, Eastern Visayas', 'name': 'Ormoc City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
94,0,2022-04-11 07:50:13+00:00,@sayyeahdess hirayo ka liwat and baha tam gawas😕,"{'longitude': 124.8960325, 'latitude': 11.1808072}","{'fullName': 'Tacloban City, Eastern Visayas', 'name': 'Tacloban City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
95,0,2022-04-11 07:40:42+00:00,I know you’re there. Help me survive. https://t.co/23s1znCHEt,"{'longitude': 123.90227985683416, 'latitude': 10.294097276514327}","{'fullName': 'Basilica Minore del Santo Niño', 'name': 'Basilica Minore del Santo Niño', 'type': 'poi', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
96,0,2022-04-11 07:39:18+00:00,"Twitter friends, will be organizing a fundraising to help out our brother and sisters in Leyte! Tap in if you’d like to join :) ‼️ this move has no political influence ‼️","{'longitude': 123.8393178, 'latitude': 10.4764289}","{'fullName': 'Danao City, Central Visayas', 'name': 'Danao City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
97,0,2022-04-11 06:57:26+00:00,"#OnTheGround: PEJC, together with the UC Legal Aid Office, CREST, and @EWCoalition, conducted community legal aid in Talisay City, Cebu. This project is in collaboration with different civil society organizations to help the families affected by Typhoon Odette.

#BangonVisMin https://t.co/XhRdLcpIAC","{'longitude': 123.7722811, 'latitude': 10.2343911}","{'fullName': 'Talisay City, Central Visayas', 'name': 'Talisay City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
98,0,2022-04-11 06:55:03+00:00,"If there's any way for you to send any mode of help, please do.
Esp. for those politicians and aspiring ones that are running for 2022 elections, it's your time to shine mga ma'am/sir. PLEASE https://t.co/BRSl5w7YtP","{'longitude': 123.9086254, 'latitude': 10.2035208}","{'fullName': 'Lapu-Lapu City, Central Visayas', 'name': 'Lapu-Lapu City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
99,0,2022-04-11 06:53:25+00:00,"To my high school classmate who lost his family due to landslide,be strong! may God strengthen you and your  relatives. May you get through this difficult time, through prayers and the comfort of friends. My sincere condolences for your great loss. 😭 #AgatonPH #BaybayNeedsHelp https://t.co/SBlxkxmwbX","{'longitude': 124.7434968, 'latitude': 10.5470262}","{'fullName': 'City Of Baybay, Eastern Visayas', 'name': 'City Of Baybay', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
